row_num,faci_stat_nm,ftype_nm,cp_nm,cpb_nm,addr_emd_nm,faci_nm,faci_road_addr,faci_addr,faci_lat,faci_lot
6208,정상운영,축구장,전라남도,무안군,,무안스포츠파크축구장,,,0,0
6209,정상운영,축구장,경상남도,함안군,,산인면공설운동장,,,0,0
6210,정상운영,축구장,경상남도,산청군,,삼장체육공원축구장,,,0,0
6211,정상운영,축구장,전라북도,부안군,,부안청림천문대풋살장,전북 부안군 상서면 노적길 25,전북 부안군 상서면 노적길 25,0,0
6212,정상운영,축구장,경기도,광주시,유정리,도척그린공원축구장,경기도 광주시 도척면 도척로 690,경기도 광주시 도척면 유정리 211-5,0,0
6213,정상운영,축구장,경기도,포천시,,설운체육공원내축구장,설운동 559-28,경기 포천시 설운동 559-28,0,0
6214,정상운영,축구장,경상남도,창원시,,창원축구센터하프돔,퇴촌동 산28,경남 창원시 의창구 퇴촌동 산 28,0,0
6215,정상운영,축구장,경상남도,통영시,,미수소운동장,미수동601-3번지외11필지,경남 통영시 미수동 601-3,0,0
6216,정상운영,축구장,경기도,안양시,석수동,석수체육공원 축구장,경기도 안양시 만안구 안양로 595 (석수동),경기도 안양시 만안구 석수동  251-1 석수체육공원,0,0
6217,정상운영,축구장,경기도,양주시,,에코스포츠센터 축구장,양주시 은현면 봉암리38,경기 양주시 은현면 봉암리 38,0,0
6218,정상운영,축구장,전라남도,목포시,대양동,목포국제축구센터인조잔디구장2,전라남도 목포시 내화마을길 89 (대양동),전라남도 목포시 대양동 950-4 목포국제축구센터,0,0
6219,정상운영,축구장,경상남도,창원시,,창원축구센터보조경기장2,퇴촌동 산28,경남 창원시 의창구 퇴촌동 산 28,0,0
6220,정상운영,축구장,경기도,양주시,,고읍축구장,양주시 광사동 714,경기 양주시 광사동 714,0,0
6221,정상운영,축구장,경상북도,경주시,,감포축구장,감포읍 전동리 50-1,경북 경주시 감포읍 전동리 50-1,0,0
6222,정상운영,축구장,서울특별시,중랑구,,용마폭포공원 인조잔디축구장,중랑구 면목동 산1-4,,0,0
6223,정상운영,축구장,전라북도,부안군,,줄포만갯벌체험축구장,전북 부안군 줄포면 생태공원로 38,전북 부안군 줄포면 생태공원로 38,0,0
6224,정상운영,축구장,경상북도,영덕군,,보조축구장,영덕읍 화개리 22,경북 영덕군 영덕읍 화개리 22,0,0
6225,정상운영,축구장,전라북도,무주군,장기리,면생활체육공원(안성축구장),전라북도 무주군 안성면 구량천로 82,,0,0
6226,정상운영,축구장,대구광역시,달성군,설화리,화원명곡체육공원다목적운동장,대구광역시 달성군 화원읍 비슬로 2480,,0,0
6227,정상운영,축구장,경상남도,산청군,어서리,생초체육공원 축구장(1구장),경상남도 산청군 생초면 생초로 10,경상남도 산청군 생초면 어서리 213 생초체육공원,0,0
6228,정상운영,축구장,경기도,포천시,운천리,영북하수처리시설내축구장,경기도 포천시 영북면 구름내2길 7-1,경기도 포천시 영북면 운천리 577-9,0,0
6229,정상운영,축구장,부산광역시,,삼락동,삼락생태공원풋살경기장,부산 사상구 삼락동 29-49,부산 사상구 삼락동 29-49,0,0
6230,정상운영,축구장,경상남도,합천군,택리,초계천연잔디축구장,경상남도 합천군 초계면 택리길 60-4,경상남도 합천군 초계면 택리 827,0,0
6231,정상운영,축구장,경기도,남양주시,,내곡리생활체육공원인조잔디구장,경기 남양주시 진접읍 내곡리 483-4,경기 남양주시 진접읍 내곡리 483-4,0,0
6232,정상운영,축구장,경상남도,창원시,,대방체육공원축구장,,,0,0
6233,정상운영,축구장,강원도,홍천군,풍암리,서석면공설운동장,강원도 홍천군 서석면 장막길 3-6,,0,0
6234,정상운영,축구장,경기도,수원시,,만석인조잔디구장,송죽동 305-1,경기 수원시 장안구 송죽동 305-1,0,0
6235,정상운영,축구장,경상북도,영덕군,강구리,강구대게축구장(AB),경상북도 영덕군 강구면 강영로 16-111,,0,0
6236,정상운영,축구장,경기도,연천군,옥산리,연천공설운동장보조경기장,경기도 연천군 연천읍 문화로 150,,0,0
6237,정상운영,축구장,인천광역시,중구,,영종영마루공원축구장,,,0,0
6238,정상운영,축구장,전라남도,담양군,양각리,백진공원잔디구장,전라남도 담양군 담양읍 양각샛터길 2-7,전라남도 담양군 담양읍 양각리 348-1,0,0
6239,정상운영,축구장,경기도,남양주시,광전리,에코랜드인조잔디구장,경기도 남양주시 별내면 청학로8번길 29-2,경기도 남양주시 별내면 광전리 59,0,0
6240,정상운영,축구장,충청북도,청주시,,가덕생활체육공원축구장,청주시 상당구 가덕면 인차리 산25-1,충북 청주시 상당구 가덕면 인차리 산 25-1,0,0
6241,정상운영,축구장,대전광역시,대덕구,신일동,을미기공원축구장,대전광역시 대덕구 대덕대로1448번길 120 (신일동),대전광역시 대덕구 신일동 1682-8,0,0
6242,정상운영,축구장,경상북도,안동시,,임하댐축구장,,,0,0
6243,정상운영,축구장,대구광역시,달성군,,화원유원지강변축구장,화원읍 성산리,대구 달성군 화원읍 성산리,0,0
6244,정상운영,축구장,충청북도,충주시,,탄금축구장,남한강로8,충북 충주시 남한강로 8,0,0
6245,정상운영,축구장,강원도,정선군,,정선종합경기장보조경기장,정선군 정선읍 애산로 60,,0,0
