addr_ctpv_nm,nation_yn,faci_daddr,row_num,base_ymd,faci_stat_nm,faci_mng_type_cd,reg_dt,inout_gbn_nm,faci_zip,faci_gfa,faci_road_daddr,faci_cd_hash,ftype_nm,cpb_nm,addr_emd_nm,addr_cpb_nm,faci_road_zip,faci_reg_ymd,updt_dt,faci_gb_nm,cp_nm,faci_nm,faci_road_addr,atnm_chk_yn,fcob_nm,faci_addr
"서울특별시","N","지하1층",271,"20080314","정상운영","자체운영        ","2016-12-31","없음","04088",0,"","xFBc2GbeCrIDHiB3gkTqAHKTo1LRv2g6IZZTmES0fUo=","체력단련장","마포구","신수동","마포구","04088","","2023-02-16","신고","서울특별시","모어짐","서울특별시 마포구 토정로 219 (신수동)","Y","체력단련장업",""
"서울특별시","N","성화빌딩",272,"20160221","정상운영","자체운영        ","2016-12-31","실내","04003",293,"성화빌딩 2층 (서교동)","5C1gCYr2U8/Zs7ku74pDM2SAgp2X5e010EoDlndcSH4=","체력단련장","마포구","합정동","마포구","04003","","2023-02-16","신고","서울특별시","파워존HJ","서울특별시 마포구 월드컵로14길 42, 성화빌딩 2층 (서교동)","Y","체력단련장업","서울특별시 마포구 서교동 474-2 성화빌딩 "
"경기도","N","",273,"20161231","폐업","","2016-12-31","실내","",155,"","kzHpWutCrePFa/oe0E32WzI/VKJiVzoxWT4Qom/iLHQ=","체력단련장","군포시","","군포시","","20100209","2023-03-02","신고","경기도","글로리 헬스","","Y","체력단련장업","고산로 151번길 7"
"경기도","N","",274,"20161231","폐업","","2016-12-31","","",147,"","BIFy/qmUAw82F/y8wvJqkfnPOdiipyl4Vl9cBcI4rLQ=","체력단련장","군포시","","군포시","","20100601","2023-03-02","신고","경기도","퍼펙트헬스크럽","","Y","체력단련장업","고산로 151번길 7"
"경기도","N","",275,"20161231","폐업","","2016-12-31","","435826",200,"","PapVdkreeFplUArNtvh3ztfuGO/lxohzwsTXjyQux90=","체력단련장","군포시","","군포시","435826","20040723","2023-03-02","신고","경기도","헬스케어휘트니스","금정동 743-2, 오복프라자 7층","Y","체력단련장업","경기 군포시 금정동 743-2"
"경기도","N","",276,"20161231","폐업","","2016-12-31","","435822",1493,"","6i1exQ1nxKD7/2j13i9mVk4lYTjrNR/NVQs8aKb0yPc=","체력단련장","군포시","","군포시","435822","20071228","2023-03-02","신고","경기도","한숲스포츠센타","산본천로 43-6 (산본동)","Y","체력단련장업","경기 군포시 산본천로 43-6"
"서울특별시","N","2층 (길동, 강동한신휴플러스주상복합)",277,"20181114","폐업","","2018-12-06","실내","05353",431,"2층 (길동, 강동한신휴플러스주상복합)","GTwbpIuuHMmXChyL8RwwLysPC2dOA7es+VoLYBcqer4=","체력단련장","강동구","길동","강동구","05353","","2023-02-16","신고","서울특별시","이노베이션","서울특별시 강동구 진황도로 99 (길동, 강동한신휴플러스주상복합)","Y","체력단련장업","서울특별시 강동구 길동 414-10 강동한신휴플러스주상복합"
"제주특별자치도","N","정무관",278,"20220104","정상운영","자체운영        ","2022-01-05","실내","63224",180,"정무관 2층 (이도이동)","2XM6WEUQt8H2r7ZMYYY1s181I/u85sJViMHj8/AmX/4=","체력단련장","제주시","","제주시","63224","","2023-04-05","신고","제주특별자치도","어텐션 트레이닝 센터","제주특별자치도 제주시 승천로 22(이도이동)","Y","체력단련장업","제주특별자치도 제주시 이도이동 1070-8 정무관"
"강원도","N","",279,"20211014","정상운영","","2022-04-29","실내","26353",283,"4층","iWvLU07D8IU9ik2QmBP7f/k8iJY1WQ2Xl4J5rZ1yoYU=","체력단련장","원주시","","원주시","26353","","2023-04-05","신고","강원도","더클래스짐","강원도 원주시 지정면 무릉로 15","Y","체력단련장업","강원도 원주시 지정면 가곡리 1345-11"
"경상남도","N","한마음타워",280,"20200325","정상운영","","2020-07-05","없음","51176",240,"한마음타워 201호 (봉곡동)","ca+5Y4SYN0pjEWIaBI5ySB1FqncOI9YQEJ/SlZ40UUI=","체력단련장","창원시","봉곡동","창원시","51176","","2023-01-31","신고","경상남도","트루바디운동센터","경상남도 창원시 의창구 원이대로 271, 한마음타워 201호 (봉곡동)","Y","체력단련장업","경상남도 창원시 의창구 봉곡동 36-9 한마음타워 "
